ID,TriggerQuestion,DialogueJumpMin,DialogueJumpMax,Anwser_ENG,Anwser_CHT,Anwser_CHS,Anwser_JP,Anwser_KR,Remark
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,10,11,13,Get started now!,趕緊開始吧!,赶紧开始吧!,,,
12,10,14,16,I'm ready，Let's go!,已經準備好了，出發!,已经准备好了，出发!,,,
13,10,17,19,Not ready yet,還沒準備好呢,还没准备好呢,,,
14,10,20,22,I just want to wait,我就是想等等,我就是想等等,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,32,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
34,32,33,38,Start tutorial,開始講解,开始讲解,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,52,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
54,52,53,58,Start tutorial,開始講解,开始讲解,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,62,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
64,62,63,67,Start tutorial,開始講解,开始讲解,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
73,72,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
74,72,73,78,Start tutorial,開始講解,开始讲解,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,82,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
84,82,83,87,Start tutorial,開始講解,开始讲解,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
