enemyID,EXP,HP,MP,PV,ASTR,MSTR,ADEF,MDEF,AGI,LCK,MovSpeed,JumpHeight,TrunkATK,TrunkDEF,EC_ATK,CriticalATK,CriticalDEF,Critical_Damage_Phy,Critical_Damage_Mag,Evade,ItemDrop_Rate,ItemDrop_Quality,P_ATK,F_ATK,I_ATK,T_ATK,W_ATK,E_ATK,L_ATK,D_ATK,U_ATK,P_DEF,F_DEF,I_DEF,T_DEF,W_DEF,E_DEF,L_DEF,D_DEF,U_DEF,DN_ASTR,DN_MSTR,DN_ADEF,DN_MDEF,DN_AGI,DN_LCK,DN_P_ATK,DN_F_ATK,DN_I_ATK,DN_T_ATK,DN_W_ATK,DN_E_ATK,DN_L_ATK,DN_D_ATK,DN_U_ATK,DN_P_DEF,DN_F_DEF,DN_I_DEF,DN_T_DEF,DN_W_DEF,DN_E_DEF,DN_L_DEF,DN_D_DEF,DN_U_DEF,ED_Fire,ED_Ice,ED_Thunder,ED_Wind,ED_Earth,ED_Light,ED_Dark,ED_Unreal,I_Poson,I_Bleed,I_Dizziness,I_Weakness,I_Silent,I_Nightmare,I_Stigma
1,20,1000,20,20,4,4,10,10,10,10,1.5,1.8,1,1,1,1,1,1,1,0,50,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,35,130,20,21,2,2,1,1,1,1,1.6,1.9,1,1,1.05,10,10,1.05,1.05,10,55,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,60,160,20,22,3,3,2,2,2,2,1.7,2,2,2,1.1,20,20,1.1,1.1,20,60,5.2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
4,120,190,20,23,4,4,3,3,3,3,1.8,2.1,3,3,1.15,30,30,1.15,1.15,30,65,5.3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5,175,220,20,24,5,5,4,4,4,4,1.9,2.2,4,4,1.2,40,40,1.2,1.2,40,70,5.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
6,185,250,20,25,6,6,5,5,5,5,2,2.3,5,5,1.25,50,50,1.25,1.25,50,75,5.5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
7,220,280,20,26,7,7,6,6,6,6,2.1,2.4,6,6,1.3,60,60,1.3,1.3,60,80,5.6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
8,235,310,20,27,8,8,7,7,7,7,2.2,2.5,7,7,1.35,70,70,1.35,1.35,70,85,5.7,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
9,240,340,20,28,9,9,8,8,8,8,2.3,2.6,8,8,1.4,80,80,1.4,1.4,80,90,5.8,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,300,370,20,29,10,10,9,9,9,9,2.4,2.7,9,9,1.45,90,90,1.45,1.45,90,95,5.9,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
