ID,InputType,Code,Remark (Keyboard / XBox),PS3 / PC,PS4,PS5,Switch Pro
0,0,A,Keyboard - A,,,,
1,0,B,Keyboard - B,,,,
2,0,C,Keyboard - C,,,,
3,0,D,Keyboard - D,,,,
4,0,E,Keyboard - E,,,,
5,0,F,Keyboard - F,,,,
6,0,G,Keyboard - G,,,,
7,0,H,Keyboard - H,,,,
8,0,I,Keyboard - I,,,,
9,0,J,Keyboard - J,,,,
10,0,K,Keyboard - K,,,,
11,0,L,Keyboard - L,,,,
12,0,M,Keyboard - M,,,,
13,0,N,Keyboard - N,,,,
14,0,O,Keyboard - O,,,,
15,0,P,Keyboard - P,,,,
16,0,Q,Keyboard - Q,,,,
17,0,R,Keyboard - R,,,,
18,0,S,Keyboard - S,,,,
19,0,T,Keyboard - T,,,,
20,0,U,Keyboard - U,,,,
21,0,V,Keyboard - V,,,,
22,0,W,Keyboard - W,,,,
23,0,X,Keyboard - X,,,,
24,0,Y,Keyboard - Y,,,,
25,0,Z,Keyboard - Z,,,,
26,0,Alpha0,Keyboard - 0,,,,
27,0,Alpha1,Keyboard - 1,,,,
28,0,Alpha2,Keyboard - 2,,,,
29,0,Alpha3,Keyboard - 3,,,,
30,0,Alpha4,Keyboard - 4,,,,
31,0,Alpha5,Keyboard - 5,,,,
32,0,Alpha6,Keyboard - 6,,,,
33,0,Alpha7,Keyboard - 7,,,,
34,0,Alpha8,Keyboard - 8,,,,
35,0,Alpha9,Keyboard - 9,,,,
36,0,Minus,"Keyboard - ""-""",,,,
37,0,Equals,"Keyboard - ""=""",,,,
38,0,Keypad1,Keyboard - Num1,,,,
39,0,Keypad2,Keyboard - Num2,,,,
40,0,Keypad3,Keyboard - Num3,,,,
41,0,Keypad4,Keyboard - Num4,,,,
42,0,Keypad5,Keyboard - Num5,,,,
43,0,Keypad6,Keyboard - Num6,,,,
44,0,Keypad7,Keyboard - Num7,,,,
45,0,Keypad8,Keyboard - Num8,,,,
46,0,Keypad9,Keyboard - Num9,,,,
47,0,Keypad0,Keyboard - Num0,,,,
48,0,KeypadPeriod,Keyboard - Num .,,,,
49,0,UpArrow,Keyboard - Up,,,,
50,0,DownArrow,Keyboard - Down,,,,
51,0,LeftArrow,Keyboard - Left,,,,
