id,P_ATK_Min,P_ATK_Max,M_ATK_Min,M_ATK_Max,PV_ATK,AttackType,AttackElement,DD_Type,DD_Power,DD_Duration,DD_Probability,DE_Type,DE_Power,DE_Duration,DE_Probability,DI_Type,DI_Power,DI_Duration,DI_Probability
1,1,2,1,2,2,0,0,-999,,,,-999,,,,-999,,,
2,3,4,3,4,3,0,1,-999,,,,-999,,,,-999,,,
3,5,6,5,6,4,0,2,-999,,,,-999,,,,-999,,,
4,7,8,7,8,5,0,3,-999,,,,-999,,,,-999,,,
5,9,10,9,10,6,0,4,-999,,,,-999,,,,-999,,,
6,11,12,11,12,7,0,5,-999,,,,-999,,,,-999,,,
7,13,14,13,14,8,0,6,-999,,,,-999,,,,-999,,,
8,15,16,15,16,9,0,7,-999,,,,-999,,,,-999,,,
9,17,18,17,18,10,0,8,-999,,,,-999,,,,-999,,,
10,19,20,19,20,11,1,0,-999,,,,-999,,,,-999,,,
